name,id,avg_household_income,median_income,percent_poverty,per_capita_income
17119401904,17119401904,74317,55417,0.4,29349
17119402000,17119402000,48145,38569,4.4,21257
17119402100,17119402100,45372,32000,23.2,17733
17119402200,17119402200,51593,34597,14.6,21002
17119402300,17119402300,62874,53214,5.1,27080
17119402400,17119402400,45050,26667,9.3,23000
17119402500,17119402500,55018,32367,24.7,21170
17119402600,17119402600,43619,38841,16.3,18492
17119402701,17119402701,62619,45815,5.1,25291
17119402721,17119402721,72794,50996,12.2,29860
17119402722,17119402722,109162,67457,2.0,45273
17119402801,17119402801,84507,70508,1.0,34406
17119402802,17119402802,86602,72946,1.3,33864
17119402803,17119402803,88859,56429,1.9,33639
17119402900,17119402900,90063,58309,7.5,40503
17119403001,17119403001,91617,62070,5.5,39141
17119403002,17119403002,93263,81469,1.5,36328
17119403101,17119403101,94071,81146,1.9,28773
17119403121,17119403121,99798,82818,2.9,38543
17119403122,17119403122,90007,60153,2.9,34417
17119403200,17119403200,54021,40903,5.7,23460
17119403300,17119403300,57931,40647,20.2,24857
17119403401,17119403401,69085,50766,4.9,29920
17119403402,17119403402,62852,44581,9.7,27502
17119403502,17119403502,79343,59039,4.0,32694
17119403531,17119403531,77913,62277,4.2,30735
17119403532,17119403532,107520,94850,0.1,36259
17119403533,17119403533,98911,79498,1.3,38899
17119403534,17119403534,94634,66748,1.0,39398
17119403601,17119403601,74404,63831,4.6,29524
17119403603,17119403603,95343,81548,0.4,35999
17119403604,17119403604,72325,55072,1.8,28956
17119403701,17119403701,98778,76991,1.0,35155
17119403702,17119403702,101797,84120,0.5,36495
17119403801,17119403801,85826,70629,2.7,33197
17119403802,17119403802,74257,56099,1.7,29163
17119404000,17119404000,36830,23641,16.3,13897
17119404100,17119404100,58238,48151,0.4,23254
17121951600,17121951600,49592,41456,3.5,19831
17121951700,17121951700,74663,57848,2.3,30163
17121951800,17121951800,44524,31678,6.0,17504
17121951900,17121951900,62320,51429,2.9,24645
17121952000,17121952000,58114,45510,7.3,23634
17121952100,17121952100,43182,28718,11.7,18631
17121952200,17121952200,60785,51409,3.8,23392
17121952300,17121952300,67516,54200,2.5,26939
17121952400,17121952400,63368,47635,2.8,28650
17121952500,17121952500,50957,34079,7.9,21601
17121952600,17121952600,46090,37566,17.5,19405
17121952700,17121952700,36858,22948,9.3,15004
17123961100,17123961100,68976,51778,4.0,28346
17123961200,17123961200,60595,42869,4.0,24743
17123961300,17123961300,70162,60333,3.4,28275
17123961400,17123961400,64200,59560,3.8,26682
17123961500,17123961500,65356,49394,1.4,26217
17125956300,17125956300,63967,50952,3.7,25135
17125956400,17125956400,72347,43828,2.3,30796
17125956500,17125956500,55329,30750,9.2,22926
17125956600,17125956600,57059,43939,2.8,24429
17125956700,17125956700,63597,57222,2.5,26215
17125956800,17125956800,50428,35476,12.7,21299
17127970100,17127970100,63991,51931,5.4,25139
17127970200,17127970200,42497,36301,8.0,18463
17127970300,17127970300,54629,51071,3.7,22086
17127970400,17127970400,45132,33770,11.4,19203
17129010100,17129010100,74640,63776,1.2,28912
17129010200,17129010200,67752,54301,3.5,28661
17129010300,17129010300,70957,58412,3.8,29572
17131040100,17131040100,78086,67469,0.9,30645
17131040200,17131040200,70269,54176,1.3,28995
17131040300,17131040300,55413,40485,9.8,23859
17131040400,17131040400,61400,51157,1.5,24968
17133600101,17133600101,88346,58110,1.5,35019
17133600102,17133600102,109494,84595,2.4,39758
17133600401,17133600401,87936,68351,2.7,34523
17133600402,17133600402,103836,79049,0.6,37290
17133600501,17133600501,88804,64797,2.0,33882
17133600502,17133600502,80799,66094,2.7,31492
17135957300,17135957300,55051,37865,2.5,22981
17135957400,17135957400,53259,40896,2.5,21979
17135957500,17135957500,80749,50086,3.9,33578
17135957600,17135957600,72013,59286,2.3,28631
17135957700,17135957700,51266,39008,8.3,20701
17135957800,17135957800,44197,28692,10.3,18613
17135957900,17135957900,64999,45954,2.4,27405
17135958000,17135958000,54847,43942,1.5,15154
17137951400,17137951400,57071,42253,2.8,23004
17137951500,17137951500,74408,60865,3.5,30077
17137951600,17137951600,36403,32519,11.7,14104
17137951700,17137951700,40544,34944,10.9,15390
17137951800,17137951800,55759,48443,17.2,19204
17137951900,17137951900,84973,68125,4.6,37059
17137952000,17137952000,47348,30593,8.6,15849
17137952100,17137952100,67991,59340,3.0,31451
17137952200,17137952200,71215,61554,2.0,28691
17137952300,17137952300,64653,49866,3.7,26742
17139976900,17139976900,80385,53283,1.6,26521
17139977000,17139977000,71494,52381,2.5,28932
17139977100,17139977100,63895,53320,5.1,26047
17139977200,17139977200,53662,42083,5.7,23059
17141960700,17141960700,90698,77679,1.3,34334
17141960800,17141960800,67311,53535,2.6,26633
17141960900,17141960900,58301,43578,5.4,24997
17141961000,17141961000,75759,61134,1.1,26839
17141961100,17141961100,58159,48155,3.4,23548
17141961200,17141961200,76144,57233,4.1,28781
17141961300,17141961300,94871,80497,0.8,36942
17141961400,17141961400,61285,48779,5.4,26692
17141961500,17141961500,66454,60163,3.5,27656
17141961600,17141961600,52600,48768,7.7,18441
17141961700,17141961700,73603,55201,5.0,27514
17143000100,17143000100,25813,14545,53.6,9356
17143000200,17143000200,42907,22957,43.7,15275
17143000300,17143000300,35561,22669,40.6,12001
17143000500,17143000500,34169,16523,46.2,12823
17143000600,17143000600,59177,29865,41.1,22265
