name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Champaign city,1712385,64295,41172,19.6,25548
Chandlerville village,1712450,60000,46802,1.5,26257
Channahon village,1712476,101748,90271,0.7,32598
Channel Lake CDP,1712489,88065,64212,1.6,37205
Chapin village,1712528,57071,42253,2.0,23631
Charleston city,1712567,53288,29924,17.3,19343
Chatham village,1712684,94519,82932,2.8,35777
Chatsworth town,1712710,66261,45650,2.9,27769
Chebanse village,1712801,76962,60932,0.7,30510
Chemung CDP,1712879,77870,54262,0.5,26041
Chenoa city,1712931,79225,60426,2.6,31956
Cherry Valley village,1713074,92217,70056,0.4,39051
Cherry village,1712970,67752,54946,1.5,28675
Chester city,1713139,61472,48360,9.0,14326
Chesterfield village,1713165,73063,61707,0.3,28370
Chestnut CDP,1713230,67833,56319,0.7,27299
Chicago city,1714000,77827,47352,20.4,30187
Chicago Heights city,1714026,65394,44556,13.0,20707
Chicago Ridge village,1714065,62999,50935,6.6,24579
Chillicothe city,1714117,64897,52364,3.7,27153
Chrisman city,1714273,63774,42448,5.2,26877
Christopher city,1714286,48132,35704,21.2,21540
Cicero town,1714351,59750,45629,18.5,15741
Cisco village,1714442,72915,65597,0.6,32127
Cisne village,1714455,65965,47022,1.3,26896
Cissna Park village,1714468,82073,61131,3.2,39096
Claremont village,1714533,61917,52710,0.5,28144
Clarendon Hills village,1714572,156113,105817,1.5,58021
Clay City village,1714715,54126,39898,4.9,23931
Clayton village,1714767,55193,42230,2.1,22575
Clear Lake village,1714845,65238,55304,0.9,27634
Cleveland village,1714923,67737,50976,0.2,25221
Clifton village,1714936,74089,60077,2.2,27203
Clinton city,1715001,64166,41849,4.5,27283
Coal City village,1715170,81198,64024,3.0,31421
Coal Valley village,1715235,85991,69566,2.0,33955
Coalton village,1715209,55051,37865,1.1,23179
Coatsburg village,1715261,60832,49046,0.3,25243
Cobden village,1715300,67433,47773,4.4,24945
Coffeen city,1715352,54847,43942,1.2,22739
Colchester city,1715378,52138,41596,4.6,22627
Coleta village,1715469,77140,62266,0.2,30103
Colfax village,1715495,72903,55368,3.8,27622
Collinsville city,1715599,67375,48524,7.4,28782
Colona city,1715664,61306,48363,6.3,23998
Colp village,1715807,46320,33545,1.5,18940
Columbia city,1715833,94022,66246,1.8,36729
Columbus village,1715846,69795,57370,0.1,28200
Como CDP,1715950,77140,62266,0.8,31019
Compton village,1715989,62373,57148,0.9,23467
Concord village,1716054,57071,42253,0.7,23239
Congerville village,1716119,97286,73566,0.8,35302
Cooksville village,1716210,72903,55368,0.7,34048
Cordova village,1716366,87293,66465,0.7,36112
Cornell village,1716405,72461,58286,0.6,29015
Cornland CDP,1716431,81530,56907,0.0,34190
Cortland town,1716470,77309,61901,3.5,25764
Coulterville village,1716613,63417,48690,7.2,26038
Country Club Hills city,1716691,81735,62375,3.8,27978
Countryside city,1716873,92593,65551,2.1,39440
Cowden village,1717055,51949,43712,2.0,20730
Coyne Center CDP,1717077,85397,62994,1.1,35315
Crab Orchard CDP,1717094,51901,40574,0.8,21820
Crainville village,1717185,60164,42601,4.1,26196
Creal Springs city,1717289,51901,40574,1.3,22749
Crescent City village,1717406,70070,53423,1.1,30079
Crest Hill city,1717458,74913,52978,2.5,26133
Creston village,1717471,58159,48155,1.7,21348
Crestwood village,1717497,79625,59900,2.2,35617
Crete village,1717523,87525,64720,2.4,33817
Creve Coeur village,1717549,55315,43347,5.8,22812
Crossville village,1717783,64694,45664,2.5,28396
Crystal Lake city,1717887,100506,80367,2.3,35574
Crystal Lawns CDP,1717939,90733,75360,0.5,34073
Cuba city,1717991,62389,49063,5.1,24589
Cullom village,1718030,67031,54651,0.7,30073
Curran village,1718147,141507,105049,0.2,59406
Cutler village,1718225,54913,39857,3.3,21791
Cypress village,1718251,50930,36793,1.1,21330
Dahlgren village,1718303,60289,52595,1.0,24230
Dakota village,1718342,69869,59487,1.2,27478
Dallas City city,1718420,55083,39330,2.5,25006
Dalton City village,1718446,71494,52381,1.6,26679
Dalzell village,1718459,83861,50787,1.0,35322
Damiansville village,1718472,85238,73569,0.5,28470
Dana village,1718485,63464,52533,0.4,24747
Danforth village,1718498,70070,53423,1.1,24942
Danvers village,1718537,100609,71398,0.7,37053
Danville city,1718563,50477,35379,20.6,19628
Darien city,1718628,104811,73044,2.6,42354
Darmstadt CDP,1718641,69758,53833,0.1,28724
Davis Junction village,1718719,75759,61134,1.8,23753
Davis village,1718706,69869,59487,1.7,27143
Dawson village,1718745,74645,56201,0.4,31236
Dayton CDP,1718771,80827,65076,0.3,31307
De Land village,1719200,82924,69112,0.7,34397
De Pue village,1719499,54393,45319,2.7,18644
De Soto village,1719616,48299,37910,6.9,20079
De Witt village,1719798,72399,57941,0.2,31084
Decatur city,1718823,58812,40042,14.4,24989
Deer Creek village,1718940,82106,69694,0.1,34289
Deer Grove village,1719031,58946,53272,0.4,23333
Deer Park village,1719083,158337,123074,0.3,54280
Deerfield village,1718992,176491,133083,1.3,64283
DeKalb city,1719161,58540,39324,17.6,20535
Delavan city,1719226,73203,60439,2.9,29472
Des Plaines city,1719642,85945,64250,4.3,33427
Detroit village,1719681,63595,42730,0.6,25285
Diamond village,1719837,78748,62715,1.2,29480
Dieterich village,1719915,83114,66335,1.1,31925
Divernon village,1720045,78932,57888,1.0,33607
Dix village,1720123,63298,47949,0.9,32954
Dixmoor village,1720149,43992,37804,23.6,14052
Dixon city,1720162,60427,45093,5.7,22376
Dolton village,1720292,72705,53062,9.0,24600
Dongola village,1720305,49449,45286,3.2,20366
Donnellson village,1720318,55218,43746,0.2,24191
Donovan village,1720331,71539,51598,1.4,27533
Dorchester village,1720370,63346,48125,0.4,24331
Dover village,1720526,52808,40723,0.8,19803
Dowell village,1720565,48299,37910,1.8,21072
Downers Grove village,1720591,113139,82291,2.0,45383
Downs village,1720643,103588,91341,0.5,36797
Du Bois village,1720890,69346,56291,0.2,28753
Du Quoin city,1721267,47940,34862,12.4,20364
Dunfermline village,1721098,55062,47112,0.9,22575
Dunlap village,1721176,105828,92926,0.7,37414
Dupo village,1721254,63717,46806,9.2,25407
Durand village,1721280,78219,61736,1.3,29325
Dwight village,1721358,71084,49896,4.0,28067
Eagarville village,1721410,51080,44163,0.2,17295
Earlville city,1721540,71224,55062,5.6,27761
East Alton village,1721553,47246,35572,9.1,20710
East Brooklyn village,1721579,67897,57206,0.3,26262
East Cape Girardeau village,1721605,41699,33542,1.8,17979
East Carondelet village,1721618,63717,46806,1.1,22601
East Dubuque city,1721683,69416,53548,2.4,31164
East Dundee village,1721696,87591,64831,0.5,39018
East Galesburg village,1721826,77256,51854,2.0,32444
East Gillespie village,1721852,61128,45028,1.4,23772
East Hazel Crest village,1721904,71845,46921,1.4,27192
East Moline city,1722073,58837,46942,5.5,23560
East Peoria city,1722164,70161,54300,5.1,29879
East St. Louis city,1722255,32141,19450,32.8,12043
Easton village,1722151,63597,57222,1.7,29322
Eddyville village,1722398,47662,42017,0.6,23595
Edgewood village,1722567,56359,49881,1.5,25490
Edinburg village,1722645,66090,52562,5.8,29060
Edwardsville city,1722697,92571,69540,5.0,34898
Effingham city,1722736,64538,43692,8.3,27955
El Dara village,1722957,55083,42880,0.2,22598
El Paso city,1723737,75973,58436,2.8,28524
Elburn village,1722931,146134,118977,0.5,49355
Eldorado city,1723009,42615,27997,11.4,18568
Eldred village,1723022,62977,57100,1.6,30392
Elgin city,1723074,82552,59706,6.2,26778
Elizabeth village,1723165,68300,51201,2.0,31233
Elizabethtown village,1723191,43833,36168,2.0,22283
Elk Grove Village village,1723256,88879,67965,1.9,35702
