tract_id,tract_name,pct_female_jobs,pct_male_jobs
1744550,Long Lake CDP,44.14,55.61
1736061,Hoopeston city,57.74,42.26
1711358,Carpentersville village,56.68,43.3
1773495,Sullivan city,48.3,51.7
1735814,Homer village,50.82,49.18
1738323,Jeffersonville village,54.17,41.67
1718446,Dalton City village,57.63,42.37
1755418,Ohlman village,53.57,46.43
1755899,Olmsted village,50.0,50.0
1727644,Frankfort Square CDP,57.33,42.61
1783245,Woodridge village,53.3,46.7
1729171,Gilberts village,42.71,57.23
1719798,De Witt village,37.5,56.25
1769979,Silvis city,63.57,36.37
1715209,Coalton village,53.97,47.62
1739233,Keenes village,41.67,58.33
1774561,Taylor Springs village,41.67,58.33
1762211,Pulaski village,40.0,60.0
1718537,Danvers village,36.23,62.32
1711228,Carlyle city,55.57,44.43
1704052,Basco village,60.0,40.0
1726350,Flat Rock village,37.5,62.5
1779241,Watson village,31.58,68.42
1756471,Oreana village,37.92,62.08
1768991,Shannon village,45.58,54.42
1721553,East Alton village,32.08,67.92
1749867,Moline city,51.74,48.26
1774301,Table Grove village,50.0,50.0
1752714,New Minden village,41.38,58.62
1732564,Hampton village,38.39,61.61
1775360,Timberlane village,51.61,48.39
1778201,Virginia city,51.96,48.04
1712151,Central City village,69.97,30.03
1737738,Irving village,45.16,54.84
1742002,Langleyville CDP,53.33,46.67
1719083,Deer Park village,48.79,51.29
1747527,Matherville village,52.38,47.62
1775783,Toulon city,58.36,41.64
1782049,Willow Springs village,34.9,65.08
1733695,Hazel Crest village,61.17,38.8
1783063,Woodhull village,47.4,52.08
1765078,Rock Island city,52.34,47.67
1770252,Smithton village,50.76,49.24
1734423,Hettick village,45.83,58.33
1768510,Secor village,43.31,55.91
1761821,Prestbury CDP,43.24,56.76
1721176,Dunlap village,56.88,43.12
1772780,Stockton village,52.59,47.41
1753442,North Aurora village,41.67,58.33
1761314,Posen village,38.56,61.67
1765104,Rock Island Arsenal CDP,40.29,59.71
1757381,Palos Heights city,71.22,28.74
1781802,Williamsfield village,48.08,51.92
1714000,Chicago city,51.48,48.52
1776225,Troy Grove village,35.81,64.19
1738479,Johnsburg village,51.25,48.69
1750543,Morrisonville village,47.9,52.1
1742795,Lemont village,48.84,51.14
1730328,Golf village,47.5,52.5
1734358,Herrin city,64.32,35.68
1725895,Ferris village,50.0,50.0
1760209,Pittsburg village,14.29,85.71
1710906,Campton Hills village,51.45,48.79
1745369,Lynnville village,26.67,73.33
1740793,La Grange Park village,68.09,31.91
1714468,Cissna Park village,37.56,62.44
1757524,Panola village,46.67,60.0
1742860,Lenzburg village,37.88,60.61
1731121,Grayslake village,57.38,42.58
1715846,Columbus village,26.09,69.57
1725414,Farmer City city,49.03,50.8
1736477,Huey village,42.86,57.14
1711163,Carbondale city,57.21,42.79
1720331,Donovan village,37.84,62.16
1704533,Beckemeyer village,53.5,46.3
1744160,Livingston village,57.28,41.75
1706756,Blue Mound village,32.93,67.07
1735398,Hoffman village,51.76,48.24
1748307,Mendon village,47.26,52.74
1745785,Mackinaw village,45.82,54.18
1750998,Mount Morris village,41.54,58.46
1709447,Buffalo Grove village,48.43,51.57
1711982,Cedar Point village,58.33,42.16
1731589,Greenville city,55.24,44.73
1751700,Nashville city,43.11,56.89
1770525,Sorento village,43.75,56.25
1773261,Stronghurst village,67.94,32.06
1718303,Dahlgren village,30.61,69.39
1759572,Phoenix village,53.14,46.86
1783271,Wood River city,38.24,61.73
1718498,Danforth village,53.33,45.71
1718940,Deer Creek village,44.26,55.74
1765481,Roodhouse city,49.32,50.68
1736126,Hopedale village,47.89,52.11
1774574,Taylorville city,55.98,44.1
1729340,Gilson CDP,47.06,52.94
1752142,New Baden village,50.65,49.2
1707133,Bolingbrook village,52.86,47.14
1765806,Roselle village,41.26,58.75
1752545,New Holland village,40.0,60.0
1702674,Athens city,52.08,47.92
1778656,Walshville village,44.12,55.88
1753143,Noble village,39.77,60.23
1712528,Chapin village,37.23,61.7
1733513,Havana city,62.23,37.7
1769342,Sherman village,43.42,56.58
1749893,Momence city,58.17,41.83
1771422,Sparland village,43.75,58.33
1759026,Peoria Heights village,47.11,52.98
1721410,Eagarville village,50.0,50.0
1700737,Alhambra village,58.02,43.21
1753039,Nilwood town,40.0,60.0
1729236,Gillespie city,59.43,40.46
1783505,Worden village,35.0,64.17
1756003,Omaha village,42.42,57.58
1751726,Nason city,43.48,56.52
1719161,DeKalb city,54.4,45.59
1755847,Olive Branch CDP,33.94,66.06
1733357,Harvel village,33.33,66.67
1714923,Cleveland village,38.1,61.9
1747449,Mason town,29.41,70.59
1737439,Industry village,20.73,79.27
1747150,Marseilles city,44.29,55.8
1704845,Belleville city,59.03,40.99
1734163,Henry city,57.29,42.71
1753455,North Barrington village,68.87,31.13
1756640,Orland Park village,61.58,38.43
1742496,Lebanon city,47.17,52.83
1758408,Pecatonica village,45.64,54.36
1757732,Park Forest village,61.79,38.19
1756484,Oregon city,49.14,50.82
1761366,Potomac village,41.43,58.57
1706028,Bingham village,57.14,57.14
