tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17099963500,17099963500,2035,1073,52.73,1796,847,47.16,3831,1920,50.12
17031040402,17031040402,2111,1617,76.6,1780,1535,86.24,3891,3152,81.01
17031040401,17031040401,1134,813,71.69,1437,926,64.44,2571,1739,67.64
17197882801,17197882801,954,299,31.34,1274,524,41.13,2228,823,36.94
17201000800,17201000800,1313,805,61.31,1034,604,58.41,2347,1409,60.03
17023060200,17023060200,1550,1026,66.19,1929,1260,65.32,3479,2286,65.71
17161023200,17161023200,2001,1236,61.77,2248,1104,49.11,4249,2340,55.07
17077011400,17077011400,2379,886,37.24,1196,614,51.34,3575,1500,41.96
17077010800,17077010800,1651,828,50.15,1598,790,49.44,3248,1617,49.78
17031032100,17031032100,3375,2201,65.21,3179,2122,66.75,6554,4323,65.96
17075950100,17075950100,1099,649,59.05,1229,760,61.84,2329,1408,60.46
17197881113,17197881113,1574,1087,69.06,1327,971,73.17,2901,2058,70.94
17197881112,17197881112,1751,1256,71.73,1984,985,49.65,3735,2241,60.0
17197881111,17197881111,1226,827,67.46,1417,805,56.81,2643,1632,61.75
17197881116,17197881116,1318,992,75.27,1616,932,57.67,2934,1924,65.58
17197881115,17197881115,1271,884,69.55,1781,1203,67.55,3052,2087,68.38
17017960500,17017960500,1066,702,65.85,911,505,55.43,1977,1207,61.05
17033880100,17033880100,1137,655,57.61,1166,742,63.64,2305,1399,60.69
17143001300,17143001300,651,286,43.93,832,340,40.87,1483,626,42.21
17031823901,17031823901,1369,842,61.5,1660,762,45.9,3028,1604,52.97
17031805801,17031805801,967,604,62.46,1048,532,50.76,2015,1136,56.38
17031805802,17031805802,1816,1262,69.49,2095,1270,60.62,3911,2532,64.74
17031823904,17031823904,1583,794,50.16,1848,805,43.56,3431,1599,46.6
17119401903,17119401903,1851,1086,58.67,1778,1163,65.41,3629,2251,62.03
17097861604,17097861604,2152,1624,75.46,2076,1358,65.41,4227,2980,70.5
17097861607,17097861607,1733,1110,64.05,1816,1199,66.02,3548,2310,65.11
17031260200,17031260200,312,106,33.97,528,222,42.05,840,328,39.05
17097861603,17097861603,2128,1478,69.45,2537,1696,66.85,4665,3175,68.06
17119401901,17119401901,699,422,60.37,808,405,50.12,1508,828,54.91
17097861608,17097861608,1354,878,64.84,1376,927,67.37,2730,1805,66.12
17031816500,17031816500,1729,1042,60.27,1436,791,55.08,3165,1833,57.91
17031818300,17031818300,2179,1300,59.66,2541,1490,58.64,4720,2790,59.11
17031817102,17031817102,912,430,47.15,1665,951,57.12,2577,1381,53.59
17165955800,17165955800,1394,590,42.32,1331,465,34.94,2725,1055,38.72
17031817101,17031817101,1654,784,47.4,1995,1318,66.07,3649,2102,57.6
17043841003,17043841003,1404,854,60.83,1453,894,61.53,2857,1748,61.18
17043841002,17043841002,1334,883,66.19,1404,744,52.99,2737,1628,59.48
17031835100,17031835100,1722,1025,59.52,2076,1033,49.76,3798,2058,54.19
17031810800,17031810800,2021,1193,59.03,2282,1513,66.3,4303,2706,62.89
17029000300,17029000300,1656,1182,71.38,2116,1404,66.35,3772,2586,68.56
17031841500,17031841500,713,277,38.85,1269,431,33.96,1982,708,35.72
17031031900,17031031900,1110,852,76.76,906,712,78.59,2016,1564,77.58
17031580200,17031580200,1411,1029,72.93,1099,460,41.86,2510,1489,59.32
17031270500,17031270500,531,179,33.71,747,277,37.08,1278,456,35.68
17119402722,17119402722,1160,747,64.4,1271,646,50.83,2431,1393,57.3
17119402721,17119402721,2915,1934,66.35,3248,1543,47.51,6163,3477,56.42
17019000800,17019000800,1787,1194,66.82,2126,1075,50.56,3913,2269,57.99
17019001301,17019001301,2661,1812,68.09,2480,1246,50.24,5141,3058,59.48
17031242200,17031242200,1704,1494,87.68,1449,1005,69.36,3153,2499,79.26
17019001302,17019001302,1677,1080,64.4,1948,958,49.18,3625,2035,56.14
17111870803,17111870803,3392,2421,71.37,3184,1781,55.94,6576,4202,63.9
17097865600,17097865600,1309,937,71.58,1370,759,55.4,2679,1696,63.31
17111870809,17111870809,2659,1766,66.42,2749,1320,48.02,5407,3087,57.09
17111870808,17111870808,1332,969,72.75,1645,872,53.01,2978,1841,61.82
17031711000,17031711000,1061,276,26.01,1625,706,43.45,2686,982,36.56
17201001200,17201001200,827,342,41.35,960,365,38.02,1787,707,39.56
17179021802,17179021802,991,592,59.74,822,456,55.47,1813,1048,57.8
17179021801,17179021801,2799,942,33.65,1856,999,53.83,4656,1940,41.67
17179020400,17179020400,2125,1259,59.25,2295,1504,65.53,4420,2762,62.49
17081050100,17081050100,1638,1095,66.85,1839,937,50.95,3477,2032,58.44
17179021201,17179021201,1663,1030,61.94,1807,1094,60.54,3470,2125,61.24
17179021203,17179021203,1855,1331,71.75,1888,1135,60.12,3743,2466,65.88
17179021202,17179021202,1303,735,56.41,1544,697,45.14,2847,1432,50.3
17137951500,17137951500,1401,1012,72.23,1252,806,64.38,2653,1817,68.49
17197880204,17197880204,2002,1202,60.04,2734,1132,41.4,4736,2334,49.28
17031120100,17031120100,1553,945,60.85,1581,847,53.57,3134,1792,57.18
17031680900,17031680900,1295,305,23.55,1768,705,39.88,3063,1010,32.97
17031061800,17031061800,532,481,90.41,564,424,75.18,1096,905,82.57
17035972600,17035972600,1799,986,54.81,1737,1005,57.86,3536,1993,56.36
17051951000,17051951000,900,475,52.78,844,445,52.73,1744,920,52.75
17199020100,17199020100,1500,824,54.93,1526,715,46.85,3027,1538,50.81
17099963600,17099963600,1358,872,64.21,1362,671,49.27,2720,1543,56.73
17161022000,17161022000,1473,1127,76.51,1657,946,57.09,3130,2073,66.23
17031839000,17031839000,3296,2356,71.48,3697,2251,60.89,6993,4607,65.88
17143000300,17143000300,840,410,48.81,835,332,39.76,1675,742,44.3
17031805702,17031805702,767,639,83.31,843,452,53.62,1610,1091,67.76
17031805701,17031805701,1736,1253,72.18,2212,1208,54.61,3948,2461,62.34
17031500200,17031500200,572,175,30.59,876,310,35.39,1448,485,33.49
17073030400,17073030400,1024,664,64.84,1084,760,70.11,2109,1424,67.52
17031825400,17031825400,2239,1305,58.28,2265,1286,56.78,4504,2591,57.53
17031824004,17031824004,2140,1496,69.91,2239,1059,47.3,4379,2554,58.32
17201001600,17201001600,1901,977,51.39,2106,1298,61.63,4007,2275,56.78
17031231500,17031231500,1777,534,30.05,2913,1085,37.25,4690,1619,34.52
17043846409,17043846409,1542,1276,82.75,1876,1496,79.74,3418,2772,81.1
17021958300,17021958300,1531,1021,66.69,1994,1110,55.67,3525,2131,60.45
17031140302,17031140302,1651,1234,74.74,1827,953,52.16,3478,2187,62.88
17031140301,17031140301,1164,933,80.15,1006,638,63.42,2170,1571,72.4
17167001200,17167001200,1455,1071,73.61,1404,1067,76.0,2859,2138,74.78
17031490600,17031490600,610,218,35.74,656,305,46.49,1266,523,41.31
17117956400,17117956400,2080,1402,67.4,2304,1256,54.51,4384,2658,60.63
17031280100,17031280100,2325,2159,92.86,2404,2059,85.65,4729,4218,89.19
17201003707,17201003707,1667,1077,64.61,1516,1027,67.74,3183,2104,66.1
17031830600,17031830600,2136,1765,82.63,1794,1298,72.35,3930,3063,77.94
17031700100,17031700100,1061,590,55.61,1499,888,59.24,2560,1478,57.73
17111870102,17111870102,2573,1801,70.0,2623,1379,52.57,5196,3181,61.22
17037000700,17037000700,1392,1030,73.99,1685,1082,64.21,3077,2112,68.64
17057952800,17057952800,962,532,55.3,1192,668,56.04,2154,1200,55.71
17031827804,17031827804,1223,656,53.64,1458,809,55.49,2681,1465,54.64
17031827805,17031827805,1052,670,63.69,1303,595,45.66,2355,1265,53.72
